No.,Vocab,Catagory,Language,Syllable,Meaning,File Name,Difficult (Star)
25,Heat Island,Environment,Eng,3,ปรากฏการณ์ที่พื้นที่ในเมืองใหญ่มีอุณหภูมิสูงกว่าพื้นที่ชนบทอย่างชัดเจน เกิดจากการแทนที่พื้นที่ธรรมชาติด้วยคอนกรีตและตึกสูง,MW0025.png,3
26,ปล่อยเต่า,Environment,Th,2,การคืนสิ่งมีชีวิตกลับสู่ถิ่นที่อยู่อาศัยตามธรรมชาติที่เหมาะสม เพื่อช่วยรักษาสมดุลของระบบนิเวศและความหลากหลายทางชีวภาพ,MW0026.png,1
27,เขาหัวโล้น,"Environment, Social",Th,3,ภูเขาที่สูญเสียสภาพป่าไม้และต้นไม้ใหญ่จนเตียนโล่ง ซึ่งอาจเกิดจากปัญหาการบุกรุกป่าเพื่อทำเกษตรกรรมเชิงเดี่ยว,MW0027.png,4
28,จรรยาบรรณ,Governance,Th,3,หลักความประพฤติปฏิบัติอันเหมาะสมแสดงถึงคุณธรรมและจริยธรรมที่พึงปฏิบัติในการประกอบวิชาชีพ,MW0028.png,2
29,Green Bond,"Environment, Economy",Eng,2,ตราสารหนี้ที่ออกโดยภาครัฐหรือเอกชนเพื่อระดมเงินทุนไปใช้ในโครงการด้านสิ่งแวดล้อม เช่น พลังงานสะอาด การขนส่งที่เป็นมิตรต่อโลก และการจัดการน้ำ,MW0029.png,3
30,คนไร้บ้าน,"Social, Economy",Th,3,บุคคลที่ไม่มีที่อยู่อาศัยเป็นหลักเป็นแหล่ง ไม่สามารถเข้าถึงที่พักอาศัยที่มั่นคงปลอดภัยตามแบบปกติทั่วไปได้ ต้องใช้ชีวิตและหลับนอนตามพื้นที่สาธารณะ,MW0030.png,2
31,ISO,"Environment, Economy",Eng,2,มาตรฐานการวัดคุณภาพองค์กรต่างๆ เพื่อรับรองระบบการบริหารและการดำเนินงานขององค์กร,MW0031.png,1
32,ชนพื้นเมือง,"Social, Economy",Th,3,กลุ่มชาติพันธุ์ดั้งเดิมที่อาศัยอยู่ในดินแดนนั้นๆ มาก่อนที่จะมีการสร้างประเทศหรือก่อนยุคอาณานิคม,MW0032.png,1
33,ฟอกเงิน,"Economy, Governance",Th,2,กระบวนการนำเงินหรือทรัพย์สินที่ได้มาอย่างผิดกฎหมายมาเปลี่ยนสภาพ เพื่อนำกลับมาใช้ได้โดยไม่ถูกตรวจสอบ,MW0033.png,4
34,คาบสมุทร,Environment,Th,3,ลักษณะทางภูมิศาสตร์ที่เป็นผืนแผ่นดินยื่นออกไปในทะเลหรือมหาสมุทร โดยมีน้ำล้อมรอบอยู่ถึง 3 ด้าน,MW0034.png,1
35,Carbon Sink,Environment,Eng,3,ระบบธรรมชาติหรือพื้นที่ที่ทำหน้าที่ดูดซับและเก็บก๊าซคาร์บอนไดออกไซด์ (CO₂) จากชั้นบรรยากาศไว้,MW0035.png,2
36,Aerosol,Environment,Eng,3,อนุภาคของแข็งหรือของเหลวขนาดเล็กมาก ที่แขวนลอยและฟุ้งกระจายอยู่ในก๊าซหรือในอากาศ,MW0036.png,3
37,น้ำมันรั่ว,"Environment, Economy",Th,3,ภัยพิบัติทางสิ่งแวดล้อม ที่เกิดจากน้ำมันดิบหรือน้ำมันเชื้อเพลิงรั่วไหลลงสู่แหล่งน้ำธรรมชาติ,MW0037.png,2
